name,symbol,exchange
EMAMIPAP,EMAMIPAP.NS,NSE
EMAMIREAL,EMAMIREAL.NS,NSE
EMBDL,EMBDL.NS,NSE
EMCURE,EMCURE.NS,NSE
EMIL,EMIL.NS,NSE
EMKAY,EMKAY.NS,NSE
EMMBI,EMMBI.NS,NSE
EMSLIMITED,EMSLIMITED.NS,NSE
EMUDHRA,EMUDHRA.NS,NSE
ENDURANCE,ENDURANCE.NS,NSE
ENERGYDEV,ENERGYDEV.NS,NSE
ENGINERSIN,ENGINERSIN.NS,NSE
ENIL,ENIL.NS,NSE
ENRIN,ENRIN.NS,NSE
ENTERO,ENTERO.NS,NSE
EPACK,EPACK.NS,NSE
EPIGRAL,EPIGRAL.NS,NSE
EPL,EPL.NS,NSE
EQUIPPP,EQUIPPP.NS,NSE
EQUITASBNK,EQUITASBNK.NS,NSE
ERIS,ERIS.NS,NSE
ESABINDIA,ESABINDIA.NS,NSE
ESAFSFB,ESAFSFB.NS,NSE
ESCORTS,ESCORTS.NS,NSE
ESSARSHPNG,ESSARSHPNG.NS,NSE
ESSENTIA,ESSENTIA.NS,NSE
ESTER,ESTER.NS,NSE
ETERNAL,ETERNAL.NS,NSE
ETHOSLTD,ETHOSLTD.NS,NSE
EUREKAFORB,EUREKAFORB.NS,NSE
EUROBOND,EUROBOND.NS,NSE
EUROTEXIND,EUROTEXIND.NS,NSE
EVEREADY,EVEREADY.NS,NSE
EVERESTIND,EVERESTIND.NS,NSE
EXCEL,EXCEL.NS,NSE
EXCELINDUS,EXCELINDUS.NS,NSE
EXICOM,EXICOM.NS,NSE
EXIDEIND,EXIDEIND.NS,NSE
EXPLEOSOL,EXPLEOSOL.NS,NSE
EXXARO,EXXARO.NS,NSE
FACT,FACT.NS,NSE
FAIRCHEMOR,FAIRCHEMOR.NS,NSE
FAZE3Q,FAZE3Q.NS,NSE
FCL,FCL.NS,NSE
FCSSOFT,FCSSOFT.NS,NSE
FDC,FDC.NS,NSE
FEDERALBNK,FEDERALBNK.NS,NSE
FEDFINA,FEDFINA.NS,NSE
FEL,FEL.NS,NSE
FELDVR,FELDVR.NS,NSE
FIBERWEB,FIBERWEB.NS,NSE
FIEMIND,FIEMIND.NS,NSE
FILATEX,FILATEX.NS,NSE
FILATFASH,FILATFASH.NS,NSE
FINCABLES,FINCABLES.NS,NSE
FINEORG,FINEORG.NS,NSE
FINOPB,FINOPB.NS,NSE
FINPIPE,FINPIPE.NS,NSE
FIRSTCRY,FIRSTCRY.NS,NSE
FISCHER,FISCHER.NS,NSE
FIVESTAR,FIVESTAR.NS,NSE
FLAIR,FLAIR.NS,NSE
FLEXITUFF,FLEXITUFF.NS,NSE
FLUOROCHEM,FLUOROCHEM.NS,NSE
FMGOETZE,FMGOETZE.NS,NSE
FMNL,FMNL.NS,NSE
FOCUS,FOCUS.NS,NSE
FOODSIN,FOODSIN.NS,NSE
FORCEMOT,FORCEMOT.NS,NSE
FORTIS,FORTIS.NS,NSE
FOSECOIND,FOSECOIND.NS,NSE
FSL,FSL.NS,NSE
FUSION,FUSION.NS,NSE
GABRIEL,GABRIEL.NS,NSE
GAEL,GAEL.NS,NSE
GAIL,GAIL.NS,NSE
GALAPREC,GALAPREC.NS,NSE
GALAXYSURF,GALAXYSURF.NS,NSE
GALLANTT,GALLANTT.NS,NSE
GANDHAR,GANDHAR.NS,NSE
GANDHITUBE,GANDHITUBE.NS,NSE
GANECOS,GANECOS.NS,NSE
GANESHBE,GANESHBE.NS,NSE
GANESHHOUC,GANESHHOUC.NS,NSE
GANGAFORGE,GANGAFORGE.NS,NSE
GANGESSECU,GANGESSECU.NS,NSE
GARFIBRES,GARFIBRES.NS,NSE
GARUDA,GARUDA.NS,NSE
GATECH,GATECH.NS,NSE
GATECHDVR,GATECHDVR.NS,NSE
GATEWAY,GATEWAY.NS,NSE
GAYAHWS,GAYAHWS.NS,NSE
GAYAPROJ,GAYAPROJ.NS,NSE
GEECEE,GEECEE.NS,NSE
GEEKAYWIRE,GEEKAYWIRE.NS,NSE
GENCON,GENCON.NS,NSE
GENESYS,GENESYS.NS,NSE
